wtime	utime	stime	rss	pss	vmem	rchar	wchar	nthreads	nprocs
0.0	1.0260954073487532	0.14428414909660991	211185	200655	455087	43804	31072	4	1
1.0	2.1940965452132657	0.27639098446175625	213653	205681	425678	92316	62408	5	1
2.0	3.3592843817937954	0.36661300706656774	225617	212897	447278	145864	95247	5	1
3.0	4.226446971718055	0.4952336221092049	211310	204156	398052	198088	123909	3	1
4.0	5.121888050010437	0.6028765413555166	217215	207272	417941	259123	154172	4	1
5.0	6.162628280834244	0.6815066496380139	220328	211455	479134	311298	183291	4	1
6.0	7.097494014065503	0.8290155809715878	227385	216456	436852	359661	217199	3	1
7.0	8.189847309856816	0.9718646803070006	230090	217985	481477	403994	253498	3	1
8.0	9.198809038230443	1.0330845256862464	232046	223021	421595	459897	279917	5	1
9.0	10.10524506060812	1.1670266738526114	225501	216874	417476	509866	303823	4	1
10.0	11.069660227653056	1.2247953458286316	240083	226984	462062	552336	335531	4	1
11.0	12.146104656084352	1.3676772652058222	236622	223788	511238	602447	368742	5	1
12.0	13.260161199760645	1.4800938694871693	243012	229283	458739	647468	404613	26	1
13.0	14.207985595818473	1.5467520939319024	247369	241040	517174	2675633	1625001	5	1
14.0	15.049979749164299	1.6784783375126962	595896	584130	434269	2725664	1659189	3	1
15.0	15.991290552058677	1.780056521589047	963697	928872	500965	2771138	1694169	3	1
16.0	17.043478839894078	1.8360115090570894	887616	845884	498819	2818700	1728563	3	1
17.0	18.14741170423264	1.9658542475362628	560784	548223	509817	2864979	1761207	4	1
18.0	19.299275399687033	2.0946880664351815	602172	581842	495830	2911393	1787360	5	1
19.0	20.48405215259045	2.1928940611201964	259091	248348	483164	4419268	2695084	4	1
20.0	21.495797822388155	2.3160050277696227	256525	249416	552707	4466854	2725984	3	1
21.0	22.647880799648508	2.3700198606709293	271903	259142	551360	4512381	2755685	3	1
22.0	23.552712006698762	2.451830520352406	264142	256652	497859	4565313	2785570	4	1
23.0	24.576572692468908	2.569152758608505	275626	261597	541697	4616317	2820272	3	1
24.0	25.5923266628147	2.642213331160975	272519	263576	497848	4672291	2848002	3	1
25.0	26.699804319285697	2.7372544691281067	259022	248118	515493	4731725	2880399	3	1
26.0	27.8090534590866	2.8804491450070078	275668	264616	542944	4785111	2911348	4	1
27.0	28.723190642415783	3.0131243228643116	270459	262109	501186	4837359	2938776	5	1
28.0	29.877535216043693	3.1189239776305824	275839	265853	545541	4891061	2965546	5	1
