wtime	utime	stime	rss	pss	vmem	rchar	wchar	nthreads	nprocs
0.0	1.1965945187180362	0.05834923780160577	215663	206361	396509	49386	26363	5	1
1.0	2.258222466341371	0.19110018878230833	204195	198756	438938	98790	58642	4	1
2.0	3.4323033028996623	0.33506548086213084	210450	205456	421963	152509	86014	5	1
3.0	4.290443424903037	0.4516572588621946	220234	212273	438121	210735	114555	5	1
4.0	5.270792734143129	0.5981114155315385	223162	214045	419406	265610	144558	4	1
5.0	6.379435774185476	0.7415225574358375	217110	211701	423538	304832	174922	4	1
6.0	7.326578865397637	0.8109833975162128	220331	213555	425929	357649	199804	3	1
7.0	8.379582263859096	0.9341046323760342	215537	208805	411308	420509	229111	3	1
8.0	9.38426313280856	1.0190351143198038	221257	214718	448480	473621	261497	4	1
9.0	10.581034896495757	1.1177868503763664	232703	224091	461896	517848	290362	4	1
10.0	11.450583912521953	1.183483393491251	234656	224310	505843	569257	319688	4	1
11.0	12.624723390654005	1.3309613362970163	237075	227874	516003	612854	350175	3	1
12.0	13.585351772175324	1.4535750746046572	241795	235196	456458	669018	379797	5	1
13.0	14.572548958726241	1.530265905567754	232027	226563	426940	714238	406705	4	1
14.0	15.583989712202232	1.6174130745845574	246182	233819	520462	2112701	1245451	4	1
15.0	16.490136331975663	1.709661367267436	247783	238443	544615	2158412	1278434	19	1
16.0	17.67559930901998	1.83441473968182	241796	236479	518760	3073605	1826035	4	1
17.0	18.840194191113895	1.9769844663587786	665504	645916	465449	3131036	1854912	4	1
18.0	20.02935623119844	2.0591284796572356	787166	748140	498995	3181553	1880767	5	1
19.0	21.22812406008225	2.1563784884852777	607803	578821	475079	3228757	1913591	4	1
20.0	22.29604409815464	2.2656992457687477	273223	258971	581503	4589868	2733416	3	1
21.0	23.276718296476936	2.3550336450087794	255806	245005	519942	4630510	2760865	5	1
22.0	24.417011857075458	2.455451777345348	264373	254961	530197	4674253	2791142	3	1
23.0	25.226533808209993	2.5160225402473584	268943	259331	543745	4724813	2817531	3	1
24.0	26.360295426095394	2.582789979019375	262517	255427	499041	4779714	2844431	3	1
25.0	27.359209835779797	2.672900104741389	276156	264003	563539	4826912	2870050	5	1
26.0	28.428497846613165	2.8143940059184445	270728	259467	490632	4884765	2896850	4	1
27.0	29.37811627115017	2.8993298104929077	278050	270952	572340	4931178	2930922	3	1
28.0	30.325565532696896	2.974309091353409	290547	275289	608340	4979988	2958723	5	1
29.0	31.13825239382125	3.0985953134383366	283375	273861	586363	5024590	2990121	3	1
30.0	32.10776816599286	3.2435083300459975	271579	265736	524921	5079543	3017612	5	1
31.0	33.07110984416059	3.3394206917523523	281695	272666	600153	5140031	3049891	5	1
32.0	33.96102628490782	3.390281187309071	298320	282823	622361	5181222	3076813	3	1
33.0	34.85995559432372	3.5090961204566327	298623	282605	552847	5229491	3106930	5	1
34.0	35.893611426500726	3.600602200618247	282286	271529	530151	5285815	3137089	4	1
35.0	36.82072000351653	3.717966754279869	310824	293714	638694	5328580	3174072	3	1
36.0	37.95282076712344	3.795738405862789	306673	290683	587515	5381414	3205964	4	1
37.0	38.79737480986627	3.8459792202444856	303692	288404	561155	5437521	3234185	4	1
38.0	39.828432788496286	3.930428842119046	316289	299974	588927	5487912	3266240	3	1
39.0	40.69245067935193	4.05090807638034	304487	294112	568248	5540664	3302655	5	1
40.0	41.70374693012019	4.140219404681259	311462	296557	620157	5599468	3327766	3	1
41.0	42.724765284900315	4.212136818646582	317404	304291	648443	5659210	3355238	5	1
42.0	43.781684359510606	4.3085375050599914	329219	313905	615825	5708900	3384528	5	1
43.0	44.75265433841977	4.43377235738983	324174	315617	675904	5756238	3413276	4	1
44.0	45.75644421247147	4.495715666069061	327156	311798	625655	5801639	3442278	3	1
45.0	46.62882525890399	4.614890869433726	333166	314811	641220	5856523	3468365	3	1
46.0	47.61403139879852	4.731625271814121	329198	318957	621986	5899665	3502577	3	1
47.0	48.563243554436234	4.818699059782628	329715	311215	697046	5948402	3528309	4	1
48.0	49.629695996298	4.965732678920578	334577	323220	730691	5998915	3557709	5	1
49.0	50.603624685696595	5.105203208868613	327753	318829	654523	6046400	3590846	3	1
50.0	51.715361346088685	5.18681935694882	334591	326592	607889	6097799	3620756	5	1
51.0	52.68575818551816	5.239928466288204	343137	326362	653411	6160622	3647818	3	1
52.0	53.58006665470774	5.320758946962712	346535	332506	645671	6210014	3673771	3	1
53.0	54.48954214229118	5.391231141216816	343844	333090	734831	6257837	3703081	4	1
54.0	55.30765623232783	5.495956332621575	333806	319634	612182	6312913	3730810	5	1
55.0	56.323623756568196	5.637830774739791	349657	338394	764557	6364111	3761426	5	1
56.0	57.455976110128326	5.774864525743543	356230	343210	725072	6421308	3787222	4	1
57.0	58.56362079285535	5.855447441310026	363519	344729	729618	6472131	3819661	3	1
58.0	59.53873657939074	5.948307194665589	360583	344487	771267	6520889	3850008	3	1
59.0	60.41718472144855	6.001961414573546	373672	355710	676728	6561971	3880577	5	1
60.0	61.56257849876753	6.10637776533846	366793	351556	774249	6603872	3914900	3	1
61.0	62.38529091238556	6.162714563343533	375847	354688	694055	6644694	3943587	5	1
62.0	63.344980002466556	6.306575179966443	370905	360222	792369	6696590	3971409	5	1
63.0	64.48762605942014	6.44326856345167	370269	359312	744859	6739779	3999766	5	1
64.0	65.44489673438181	6.51468732609542	363936	355509	663984	6796057	4029189	3	1
65.0	66.29204692268459	6.634624194081625	365077	350308	778819	6846208	4058916	3	1
66.0	67.19842672282292	6.741426232324958	378763	362614	685911	6894987	4086424	3	1
67.0	68.2384384995201	6.871562003576576	389512	371304	722682	6940768	4110354	4	1
68.0	69.09925286259792	6.969127214251729	380540	368234	806413	6993879	4138672	4	1
69.0	70.16122699333486	7.038304411318307	384220	376505	763042	7039857	4169751	3	1
70.0	71.13649176581457	7.15228875133059	392760	375743	845439	7084930	4200160	4	1
