wtime	utime	stime	rss	pss	vmem	rchar	wchar	nthreads	nprocs
0.0	1.1546231654665113	0.0797329526106532	208871	201523	450349	54045	29178	3	1
1.0	1.9936410481757045	0.15075220958575558	207509	197300	412525	104523	61549	4	1
2.0	3.053020316410763	0.2316771822193712	213635	208752	425228	142341	86951	3	1
3.0	4.166155578433077	0.3019921397361109	221161	212202	480853	187424	115400	3	1
4.0	5.211998066134048	0.3837576618166316	210674	200244	384226	240863	147452	3	1
5.0	6.2102119877950654	0.44205128410344896	217728	205989	410650	296927	175610	3	1
6.0	7.25715082776534	0.5079042870153948	227047	215639	461884	352473	200783	4	1
7.0	8.117816311277117	0.5996095753550096	220556	215918	414247	394513	232789	4	1
8.0	9.004044595409205	0.7375562609139972	227592	219915	471529	446020	266158	3	1
9.0	9.912004332991742	0.7932853355862257	223024	218234	420543	501098	296023	5	1
10.0	10.951116069243758	0.8645528062622287	234987	229396	432298	542806	320141	5	1
11.0	11.927876498741787	1.0053873738163883	242267	231388	456139	592767	352259	3	1
12.0	12.825666835736122	1.1443888412323804	241508	230330	475552	644136	377279	5	1
13.0	13.978790568593954	1.2623339245619745	250268	238136	468116	692632	408205	3	1
14.0	14.928359304711243	1.3363812799714982	250300	237337	464026	733371	435543	4	1
15.0	15.9067719924032	1.4283623360770767	244765	233203	524804	781743	462063	4	1
16.0	16.870652423022797	1.4994844355208732	254428	241843	490577	830106	490738	4	1
17.0	17.7434296051335	1.5623432864333935	242925	237705	472320	879366	520188	5	1
18.0	18.836080411305595	1.6503431258847827	256719	249392	467771	926549	548255	5	1
19.0	19.815463716213138	1.7579252863918178	258345	247250	501952	974334	580021	3	1
20.0	20.621966560170225	1.8439185539382983	262606	249075	500508	1024135	608683	4	1
21.0	21.807572041114145	1.9550010089848953	254122	249095	519474	1076347	641624	5	1
22.0	22.933877485752312	2.034626482522826	271710	261112	511400	1124825	672467	5	1
23.0	24.023301227389034	2.119211535298905	268817	256727	579393	1172777	700374	5	1
24.0	25.170937975596445	2.248278894463366	263320	257858	571897	1223239	727777	4	1
25.0	26.333660877038664	2.3861103675527517	270140	260739	497039	1263634	752834	3	1
26.0	27.26865675959244	2.468313775705857	282603	267661	520827	1316019	783706	4	1
27.0	28.313040230959118	2.5754653558403846	281949	269327	520514	1366017	812643	5	1
28.0	29.356563354641356	2.6532815842296116	280091	272063	573578	1416215	835526	5	1
29.0	30.263483222165593	2.7086150484003544	289515	274654	535253	1471019	863919	5	1
30.0	31.15226412274442	2.832400766536395	295399	285708	632437	1511255	891216	5	1
31.0	31.997827024672027	2.8995011148600103	290380	275467	610294	1551385	925943	4	1
32.0	33.06155270303861	2.992072367234702	286305	277438	609235	1602754	950834	3	1
33.0	34.17392029945092	3.0907769165726178	290574	278431	584177	1652719	976510	4	1
34.0	35.27830149125772	3.1592240749905285	298415	288079	656117	1703570	1009840	4	1
35.0	36.20481164213171	3.218679610056868	302230	293144	549354	1751259	1043911	5	1
36.0	37.08691558231779	3.303480911523975	305482	289430	598900	1804581	1071676	4	1
37.0	38.06836125369964	3.448709502279007	296228	288299	571595	1859244	1099779	5	1
38.0	39.08708663779585	3.560223061277849	297681	290877	648785	1911664	1131628	3	1
39.0	40.25472148898327	3.6483640841181395	310881	300752	631320	1960360	1154647	5	1
40.0	41.404650750692895	3.702255166195561	318508	303716	676027	1999821	1179063	4	1
41.0	42.571074083213624	3.812282494334669	321177	305215	600003	2053668	1208221	5	1
42.0	43.71117903726802	3.8715082584282063	319757	301672	700734	2109776	1242871	4	1
43.0	44.89701151904254	3.975762665532959	318493	308660	636812	2162999	1271563	4	1
44.0	45.88321151791017	4.100957716360133	321863	310583	642911	2208601	1301866	3	1
45.0	46.702200916883406	4.193316251189612	321581	313593	703734	2261970	1335268	5	1
46.0	47.5356257297428	4.273257400671264	333087	319357	650285	2316272	1371588	5	1
47.0	48.49173618645173	4.3279958240530245	337704	318617	661565	2374067	1399858	5	1
48.0	49.39481102296093	4.380473611569184	338928	323394	689347	2419686	1429807	3	1
49.0	50.26278725950536	4.473476268533736	336980	322837	623826	2468554	1465273	3	1
50.0	51.44406876930882	4.6118107956040335	338097	326445	651999	2522290	1490707	5	1
51.0	52.32223660467307	4.686217073483353	349375	330656	655876	2572577	1523790	3	1
52.0	53.50598831359917	4.793622624061535	335582	322714	617913	2616990	1550735	4	1
53.0	54.61032384972765	4.912053206029511	339298	330901	728289	2669064	1581042	4	1
54.0	55.66670211857774	4.968136192779647	344162	332648	700623	2721957	1610314	5	1
55.0	56.73710970261349	5.033446230359985	341889	334305	664452	2772397	1637440	5	1
56.0	57.66969943207714	5.116573909701942	348132	338624	683547	2823495	1664491	5	1
57.0	58.72827024730045	5.2335832271167995	357221	349974	704657	2872201	1695320	3	1
58.0	59.60294709461296	5.327486738339609	353661	340670	726157	2929592	1728307	4	1
59.0	60.778029267627346	5.450906245161434	368331	352341	799539	2975089	1757917	5	1
60.0	61.69874660361158	5.587666031718753	353107	341585	767342	3022152	1788128	5	1
61.0	62.600821208529	5.713503259378608	363741	350825	711695	3072207	1819841	3	1
62.0	63.685286327806665	5.862727980109932	376582	355813	727445	3126602	1846927	5	1
63.0	64.74786581503314	5.988164086983097	378480	360431	749550	3169115	1879146	4	1
64.0	65.72838538237046	6.123382006483842	378692	363556	767675	3212564	1911604	3	1
65.0	66.78136387624677	6.256618642330342	377967	366466	750161	3252375	1949414	4	1
66.0	67.64516110495111	6.3796452185583465	383555	363256	791466	3302539	1978286	5	1
67.0	68.71449242791189	6.509825400223936	375926	365188	760032	3346947	2006912	3	1
68.0	69.62273670598996	6.653293723010677	386646	374289	745565	3395024	2039219	3	1
69.0	70.53187109666055	6.750814460863306	392484	371543	760749	3448331	2071676	5	1
70.0	71.39674307063807	6.86464316325456	383802	368621	748965	3495123	2100071	5	1
71.0	72.32969392465253	6.966137135411837	390310	371833	717335	3546280	2128861	3	1
72.0	73.26219434877706	7.101240834131044	391781	375402	731230	3594783	2160485	5	1
73.0	74.24386595345797	7.194376794418194	402748	384985	841439	3648144	2188002	5	1
74.0	75.12003375532451	7.326349471532668	398045	385712	778432	3700519	2216770	5	1
75.0	75.99723676978802	7.4562849290383815	402546	390952	759127	3747060	2247039	3	1
76.0	77.0139321984533	7.60247353917524	400624	387863	811291	3796216	2280027	4	1
77.0	77.86548316032149	7.677365609100982	403603	393292	848462	3851435	2308213	5	1
78.0	78.94104196351702	7.798327560089573	420014	398127	799273	3903402	2332686	5	1
79.0	80.11862081386207	7.924019509854322	408358	395953	870095	3946417	2356936	4	1
80.0	81.08933906252781	8.067647359134789	419364	402283	910441	3999695	2383158	3	1
81.0	82.24978118778809	8.208337600940341	419820	399190	855995	4044272	2409219	3	1
82.0	83.08910782423844	8.315690187111185	423889	403184	876424	4101335	2438755	3	1
83.0	83.9062908751887	8.423605505697584	420815	405591	766317	4156455	2465188	3	1
84.0	84.99483842619424	8.490334628538006	419797	404020	914407	4207905	2493080	3	1
85.0	86.09924705538684	8.637830898780383	439743	414934	860574	4258691	2520758	3	1
86.0	87.23647035177314	8.713332645050725	432041	412652	937339	4307646	2549436	5	1
87.0	88.05919742313313	8.835806266895855	439520	417562	892925	4361038	2583404	4	1
88.0	89.16996024511586	8.965385767376386	446101	422403	803806	4409185	2615389	4	1
89.0	90.12057573823449	9.059507317837523	446607	424732	810779	4460362	2645438	5	1
90.0	91.04191079130737	9.13062668984043	440066	428326	911890	4514722	2674055	4	1
91.0	91.91112035984469	9.199522728262398	445149	427007	901458	4561913	2702755	4	1
92.0	93.1095266618857	9.335172328352558	438185	427883	793383	4608832	2733738	3	1
93.0	93.93499209761325	9.43624797702741	452028	432101	948077	4652860	2765491	4	1
94.0	95.06579530345644	9.495261675231237	451395	426563	966373	4697538	2792768	3	1
95.0	96.12159307765265	9.616963622507527	447694	430264	894746	4738396	2822877	4	1
96.0	97.2156252553574	9.69198072778803	449560	433386	892962	4792045	2846782	5	1
97.0	98.3003121033261	9.829620202863119	446891	437513	805382	4851090	2877418	4	1
98.0	99.44368589735538	9.910577381466116	473099	446998	1000444	4908216	2909704	3	1
99.0	100.31720272529782	9.98060446447513	453657	442972	876595	6263171	3726715	5	1
100.0	101.11753257203169	10.039090308830623	457807	448109	984975	6316795	3762164	27	1
101.0	102.156943967649	10.140243422494388	472693	458996	921386	6373906	3789521	16	1
102.0	103.09848742337833	10.235317181276217	1772996	1733773	939006	6421622	3820173	3	1
103.0	103.94800235582518	10.360448395736531	1574086	1516159	913629	6472129	3850066	5	1
104.0	104.82245785746687	10.456908654455836	1784996	1715278	883345	6512089	3879765	3	1
105.0	105.75515758245056	10.541290251348272	476471	461472	1005338	6563423	3909422	23	1
106.0	106.58325093080525	10.617455742911567	470393	460249	940144	6608105	3939743	3	1
107.0	107.40601621165663	10.695270417458564	477200	465804	961365	6659103	3972287	4	1
